task,topology_family,repeat,drift,feature_group,macro_f1,bal_acc,class_mae,adjacent_acc
scale,line,0,0.2,Topological,0.9721236320615203,0.9722222222222222,0.027777777777777776,1.0
scale,line,0,0.2,Complexity,0.8068273019701069,0.8125,0.24305555555555555,0.9548611111111112
scale,line,0,0.2,Operational,0.6624390251237542,0.6597222222222222,0.3645833333333333,0.9791666666666666
scale,line,0,0.2,All,0.9859509020999705,0.9861111111111112,0.013888888888888888,1.0
scale,line,0,0.4,Topological,0.9446872571872572,0.9444444444444445,0.05555555555555555,1.0
scale,line,0,0.4,Complexity,0.7624701599504569,0.7638888888888888,0.3333333333333333,0.9270833333333334
scale,line,0,0.4,Operational,0.4733113752850595,0.4861111111111111,0.6354166666666666,0.8923611111111112
scale,line,0,0.4,All,0.9605603546780017,0.9618055555555555,0.03819444444444445,1.0
scale,line,0,0.6,Topological,0.9441542254042256,0.9444444444444443,0.05555555555555555,1.0
scale,line,0,0.6,Complexity,0.6423899268751083,0.6388888888888888,0.5520833333333334,0.8854166666666666
scale,line,0,0.6,Operational,0.384299263911678,0.4166666666666667,0.8298611111111112,0.7951388888888888
scale,line,0,0.6,All,0.9028979971120267,0.90625,0.09722222222222222,0.9965277777777778
scale,line,0,0.8,Topological,0.8896195360375622,0.8888888888888888,0.1111111111111111,1.0
scale,line,0,0.8,Complexity,0.6087583918069223,0.5972222222222222,0.6631944444444444,0.8506944444444444
scale,line,0,0.8,Operational,0.29426777046356317,0.3333333333333333,1.0416666666666667,0.7048611111111112
scale,line,0,0.8,All,0.8702122250509348,0.8715277777777778,0.13541666666666666,0.9930555555555556
scale,line,0,1.0,Topological,0.8969125691835008,0.8958333333333335,0.10416666666666667,1.0
scale,line,0,1.0,Complexity,0.5216578726044955,0.5138888888888888,0.8020833333333334,0.8055555555555556
scale,line,0,1.0,Operational,0.27471874890626685,0.3125,1.1736111111111112,0.65625
scale,line,0,1.0,All,0.8455589028688443,0.8506944444444445,0.15625,0.9930555555555556
scale,line,1,0.0,Topological,0.9895810955961334,0.9895833333333334,0.010416666666666666,1.0
scale,line,1,0.0,Complexity,0.8840659982725861,0.8854166666666666,0.125,0.9930555555555556
scale,line,1,0.0,Operational,0.8998177251356796,0.8993055555555555,0.1284722222222222,0.9861111111111112
scale,line,1,0.0,All,0.9930525401650022,0.9930555555555555,0.006944444444444444,1.0
scale,line,1,0.2,Topological,0.9825635517364842,0.9826388888888888,0.017361111111111112,1.0
scale,line,1,0.2,Complexity,0.8134969302257803,0.8159722222222222,0.20833333333333334,0.9791666666666666
scale,line,1,0.2,Operational,0.6238727167665107,0.6284722222222222,0.4131944444444444,0.9791666666666666
